date,reserves_b,assets_b,gdp_b,res_to_asset,res_to_gdp,res_date,asset_date,gdp_period
2026-02-01,2901.6,24731.5908,31098.027,11.947888932401389,9.501898625272917,2026-01-28,2026-01-21,25Q3
2026-02-07,2925.17,24831.3433,31098.027,11.68523170472215,9.330495468410264,2026-02-04,2026-01-28,25Q3
2026-02-14,2939.557,24815.2248,31098.027,11.787803751832222,9.406288058081628,2026-02-11,2026-02-04,25Q3
2026-02-21,2949.804,24859.563,31490.07,11.824652750331936,9.334869690667565,2026-02-18,2026-02-11,25Q4
